"Time of Day","Process Name","PID","Operation","Path","Result","Detail","Image Path","Parent PID"
"2:23:00.4995931 PM","RAT.exe","2176","CreateFile","C:\Users\vboxuser\AppData\Local\Microsoft\Windows\Caches","NAME COLLISION","Desired Access: Read Data/List Directory, Synchronize, Disposition: Create, Options: Directory, Synchronous IO Non-Alert, Open Reparse Point, Attributes: N, ShareMode: Read, Write, AllocationSize: 0","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.4997969 PM","RAT.exe","2176","CreateFile","C:\Users\vboxuser\AppData\Local\Microsoft\Windows\Caches","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.4998156 PM","RAT.exe","2176","QuerySecurityFile","C:\Users\vboxuser\AppData\Local\Microsoft\Windows\Caches","BUFFER OVERFLOW","Information: DACL","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.4998262 PM","RAT.exe","2176","CloseFile","C:\Users\vboxuser\AppData\Local\Microsoft\Windows\Caches","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.4998359 PM","RAT.exe","2176","IRP_MJ_CLOSE","C:\Users\vboxuser\AppData\Local\Microsoft\Windows\Caches","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.4999054 PM","RAT.exe","2176","CreateFile","C:\Users\vboxuser\AppData\Local\Microsoft\Windows\Caches","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.4999194 PM","RAT.exe","2176","QuerySecurityFile","C:\Users\vboxuser\AppData\Local\Microsoft\Windows\Caches","SUCCESS","Information: DACL","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.4999317 PM","RAT.exe","2176","CloseFile","C:\Users\vboxuser\AppData\Local\Microsoft\Windows\Caches","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.4999412 PM","RAT.exe","2176","IRP_MJ_CLOSE","C:\Users\vboxuser\AppData\Local\Microsoft\Windows\Caches","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5000220 PM","RAT.exe","2176","CreateFile","C:\Users\vboxuser\AppData\Local\Microsoft\Windows\Caches\cversions.1.db","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5000526 PM","RAT.exe","2176","CreateFileMapping","C:\Users\vboxuser\AppData\Local\Microsoft\Windows\Caches\cversions.1.db","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE","C:\Users\vboxuser\Desktop\RAT.exe","4708"
